Datum,Kommentar,Rating
"12.11.2025 14:38","war nur ein kleines Anliegen, da mein Kundenkonto deaktiviert war. Aber mir wurde sehr freundlich, kompetent und schnell geholfen.",5
"12.11.2025 09:29","Die Telefonnummer war leider nicht im Online-Portal zu finden. ....",5
"11.11.2025 11:32","Ich war sehr zufrieden und mir wurde sofort weitergeholfen.",5
"11.11.2025 09:13","Keine weiteren Kommentare",5
"10.11.2025 14:09","Keine weiteren Kommentare",5
"10.11.2025 13:16","Keine weiteren Kommentare",5
"08.11.2025 08:15","Keine weiteren Kommentare",4
"07.11.2025 15:12","Das freundliche Telefonat mit Frau *** war sehr angenehm",5
"07.11.2025 10:26","Mein Anliegen wurde zur vollsten Zufriedenheit bearbeitet.",5
"07.11.2025 09:50","Keine weiteren Kommentare",4
"07.11.2025 08:38","Keine weiteren Kommentare",5
"06.11.2025 17:15","Keine weiteren Kommentare",5
"06.11.2025 17:02","Ich habe gelernt, dass man sich alle 5 Monate mindestens einmal online anmelden muss. Der Hinweis, dass das Konto \"deaktiviert\" wurde, war überraschend.\nAußerdem war es nicht hilfreich, dass die Vertragsnummer geändert wurde und dann beim Versuch des Logins der Hinweis erschien \"Ihr Vertrag ist gekündigt. Sie haben nur noch eingeschränkten Zugriff\".\nZumal der Vertrag eben NICHT gekündigt wurde.",5
"06.11.2025 16:04","schnelle Bearbeitung",5
"06.11.2025 14:15","Sehr nettes und kompetentes Telefonat mit Ihrer Kollegin Frau ***. Mein Anliegen wurde sofort beantwortet und auch eine mail zur Bearbeitung meines Problems erhalten.",5
"05.11.2025 16:58","Keine weiteren Kommentare",5
"05.11.2025 16:13","Ich habe keine Antwort darauf bekommen, wie mir die Rechnung zugesandt wurde.",4
"05.11.2025 14:39","Keine weiteren Kommentare",5
"04.11.2025 12:34","Keine weiteren Kommentare",4
"04.11.2025 11:09","Keine weiteren Kommentare",5
"03.11.2025 14:36","Ein Herzliches Danke an*** (1. Kontakt) & an *** (2. Kontakt).\nBei meinem etwas skurrilen Problem hatte ich mit beiden Kontakt und aufgrund der kompetente Hilfe + Zusatz Recherche konnte ich das reale Problem lokalisieren und mit dem fundierten Wissen alles Weitere mit dem Endkunden abklären.\nIn der Regel wird mir schon im Telefonat kompetent geholfen und wenn es sich um ein Sonderthema wie dieses handelt bekomme ich zeitnah einen Zwischenbescheid und dann einen finalen.\nIch fühle mich sehr gut betreut!",5
"03.11.2025 12:28","Ein Telefonat dauert gefühlt niemals lang, da meine Anliegen bisher immer schnell und freundlich bearbeitet und erledigt worden sind. SK",5
"03.11.2025 11:31","Hallo, ich habe eine Anfrage zu Mahnungen gestellt. Da wurde ein Ticket eröffnet und dieses wurde geschlossen ohne Ergebnis. Keine Rückmeldung keine Antwort nichts. Ich habe Fragezeichen im Kopf.",1
"31.10.2025 14:45","Keine weiteren Kommentare",2
"30.10.2025 13:45","Keine weiteren Kommentare",5
"30.10.2025 13:26","Keine weiteren Kommentare",5
"30.10.2025 09:30","Keine weiteren Kommentare",1
"29.10.2025 12:06","Ich habe Kontakt über das Onlineportal gehabt - Problem wurde zügig erledigt.",5
"29.10.2025 11:24","Keine weiteren Kommentare",5
"29.10.2025 10:36","Beim Versuch der telefonischen Kontaktausnahme wartet man ewig in der Warteschleife und muss schließlich einen Rückrufwunsch hinterlassen, der dann jedoch prompt beantwortet wird.\nEine selbstständige telefonische Erreichbarkeit wäre wünschenswert.",5
"29.10.2025 09:25","Eine der einfachsten Varianten wäre, eine gestellte Frage auch zu beantworten und nicht einfach das Ticket schließen.",1
"28.10.2025 11:21","Keine weiteren Kommentare",5
"28.10.2025 10:44","Die Kollegen sind immer stets bemüht, alles so schnell es geht zu klären.",4
"28.10.2025 10:10","Ich habe seit dem 08.10.25 keine Reaktion aus Ihrem Hause bekommen. Das Ticket wurde meiner Meinung nach nicht bearbeitet.",1
"27.10.2025 11:03","Wir sind mit dem Portal von Allianz Trade und der Zusammenarbeit insgesamt sehr zufrieden.\nDas System ist übersichtlich, benutzerfreundlich und erleichtert uns die tägliche Arbeit erheblich.\nBesonders schätzen wir die schnelle Verfügbarkeit von Informationen und die zuverlässige Unterstützung durch den Kundenservice.",5
"24.10.2025 15:50","Keine weiteren Kommentare",5
"24.10.2025 14:14","telefonisch, kam 2x im Kundenservice raus, Kollegen waren aber sehr nett und haben ein Call in die EDV gesendet",5
"24.10.2025 13:54","weiter so !!!",5
"24.10.2025 13:19","***hat mich äußerst kompetent und freundlich beraten. Die ganzheitlichen Informationen und getroffenen Maßnahmen beweisen Engagement und fundierte Fachkenntnisse.",5
"24.10.2025 12:34","Keine weiteren Kommentare",4
"24.10.2025 11:14","Keine weiteren Kommentare",4
"24.10.2025 10:47","Keine weiteren Kommentare",4
"24.10.2025 10:22","Keine weiteren Kommentare",5
"23.10.2025 18:03","Sehr nette Mitarbeiterin, sehr kompetent und bemüht!",5
"23.10.2025 16:16","Alles super und schnell und freundlich.",5
"23.10.2025 15:07","Keine weiteren Kommentare",5
"23.10.2025 15:04","Keine weiteren Kommentare",5
"23.10.2025 10:37","Schnell, effizient, geduldig",5
"22.10.2025 17:48","war alles super",5
"22.10.2025 17:18","Keine weiteren Kommentare",5
"22.10.2025 11:11","Keine weiteren Kommentare",5
"21.10.2025 15:53","Anfrage wegen Limitreduzierung eines Kunden. Schnell geklärt.",5
"21.10.2025 15:23","Keine weiteren Kommentare",5
"21.10.2025 13:27","Keine weiteren Kommentare",4
"21.10.2025 09:54","Keine weiteren Kommentare",4
"20.10.2025 14:53","Für den Berater war leider nicht ersichtlich, an wen die Bestätigungsemail ging.",5
"07.10.2025 14:34","Telefonisch kann man sie nicht erreichen. Es hat etwas gedauert, bis wir die Möglichkeit der schriftlichen Form in Ihrem Portal gefunden haben.",5
"17.10.2025 14:03","Keine weiteren Kommentare",5
"17.10.2025 14:02","Keine weiteren Kommentare",5
"17.10.2025 08:38","Keine weiteren Kommentare",5
"16.10.2025 15:02","Keine weiteren Kommentare",5
"16.10.2025 14:07","Mir wurde zeitnah und auch sehr kompetent weitergeholfen. Hoffe nun, dass der Vorgang auch vernünftig verarbeitet wird.",5
"15.10.2025 17:05","Ich habe keine Antwort bekommen.",1
"15.10.2025 13:22","Keine weiteren Kommentare",5
"14.10.2025 12:04","Keine weiteren Kommentare",5
"14.10.2025 11:48","Keine weiteren Kommentare",5
"13.10.2025 15:53","Muss ich jetzt die Rechnungen an uns im Internet suchen, oder werden sie uns zugestellt?\nIn der Prämienrechnung ist nicht nachzuvollziehen, wie der Betrag errechnet wurde.",1
"13.10.2025 15:10","sehr freundlich und kompetent - Reaktionszeit seit Erstkontakt OK",5
"13.10.2025 13:13","Keine weiteren Kommentare",5
"13.10.2025 11:21","Keine weiteren Kommentare",4
"13.10.2025 10:17","Hallo, Sie haben mir geschrieben, dass das Ticket jetzt erledigt ist.\nWas ich jetzt aber zu tun habe, wurde mir nicht mitgeteilt.\nEigentlich wollte ich nur wissen, auf welches Konto ich das Geld überweisen soll.",2
"10.10.2025 15:53","Die Hotline ist zu sehr anonymisiert.\nBei Folgeanrufen wird man immer mit einem beliebigen Mitarbeiter verbunden.\nDer Vorgang muss wieder ganz von vorne geschildert werden.",3
"09.10.2025 18:09","Keine weiteren Kommentare",4
"09.10.2025 16:16","Die vorhandenen Fehler wurden super schnell behoben und die Mitarbeiter waren sehr freundlich.",5
"09.10.2025 15:51","war alles unkompliziert und schnell abgewickelt",5
"09.10.2025 15:12","Die Bearbeitung begann unverzüglich, und innerhalb weniger Stunden wurde unser Anliegen vollständig abgeschlossen.\nWir erhielten umgehend die Bestätigung – ich bin mehr als zufrieden.",5
"09.10.2025 14:55","Keine weiteren Kommentare",5
"09.10.2025 13:51","Leider kann ich Ihre Antwort auf mein Anliegen im Portal nicht sehen",2
"09.10.2025 13:47","Keine weiteren Kommentare",5
"09.10.2025 09:41","****",4
"08.10.2025 18:43","Keine weiteren Kommentare",4
"08.10.2025 17:38","Keine weiteren Kommentare",5
"08.10.2025 16:11","Keine weiteren Kommentare",5
"08.10.2025 14:39","Keine weiteren Kommentare",5
"08.10.2025 10:45","Bei zeitkritischen Entscheidungen würde ich mir eine schnellere Entscheidung wünschen, wenn es sich um einen \"Wackelkandidaten\" handelt.",5
"07.10.2025 20:42","Keine weiteren Kommentare",5
"07.10.2025 17:35","Ich war SEHR zufrieden",5
"07.10.2025 16:17","Vielen Dank für die schnelle Hilfe!",5
"07.10.2025 16:07","Keine weiteren Kommentare",5
"07.10.2025 14:10","Leider konnte uns telefonisch nicht geholfen werden.\nWir wurden an den allgemeinen Mailkontakt verwiesen.\nDie Mahnung kann erst ausgeglichen werden, wenn der Mailkontakt reagiert.",3
"07.10.2025 11:40","Sehr geehrte Damen und Herren,\nich möchte mich über die aktuelle Umstellung Ihres Kommunikationsprozesses beschweren.\nPortalzugang gesperrt, viele Mails, sehr umständlich.\nBitte verbessern.",1
"06.10.2025 17:05","Keine weiteren Kommentare",5
"06.10.2025 10:58","Keine weiteren Kommentare",5
"02.10.2025 17:02","Einen fachkompetenten Mitarbeiter am Telefon zu haben, ist das A und O.\nBitte behalten Sie das bei.\nKeiner steht auf KI-Stimmen.",5
"02.10.2025 10:17","Keine weiteren Kommentare",4
"01.10.2025 16:15","Es gibt bei Ihnen überhaupt keinen Anlass, irgendwas zu beanstanden.\nDas ist einfach rundum gut!",5
"01.10.2025 15:29","Wir konnten die Frage so lösen, dass ich das Problem extern lösen konnte.",5
"01.10.2025 14:57","Leider hat die Antwort zu lang gedauert.",4
"01.10.2025 14:22","I opened a case due to a report download issue.\nAfter 2 days I was told it's resolved, but nothing was resolved.\nNo contact, no workaround.\nBroker helped.",2
"01.10.2025 11:07","Keine weiteren Kommentare",5
"30.09.2025 17:17","Keine weiteren Kommentare",5
"30.09.2025 17:05","Anfrage für Kunde ***, Unterlagen übermittelt, mehrfach reklamiert.\nBis heute keine Rückantwort.",1
"30.09.2025 14:21","Keine weiteren Kommentare",5
"30.09.2025 13:07","Keine weiteren Kommentare",5
"26.09.2025 17:45","Antwort nach 16 Tagen völlig unzureichend.\nFall einfach geschlossen.",1
"26.09.2025 15:03","Keine weiteren Kommentare",5
"25.09.2025 17:18","Mit der letzten Bearbeitung sind wir zufrieden.\nBei einer Limitstreichung war die Begründung unzureichend.",4
"24.09.2025 19:22","sehr guter Support durch Ihre Mitarbeiterin - ***",5
"24.09.2025 18:04","Keine weiteren Kommentare",5
"24.09.2025 15:01","Alles gut!",5
"24.09.2025 14:07","Beleg per Mail angefordert und innerhalb einer Stunde erhalten.\nRückmeldung bei Schadenmeldung ebenfalls prompt.",5
"24.09.2025 12:10","Keine weiteren Kommentare",5
"23.09.2025 14:35","Keine weiteren Kommentare",5
"23.09.2025 13:41","Keine weiteren Kommentare",3
"23.09.2025 09:27","Die Bearbeitung dauert bei manchen Versicherungsanträgen zu lange.\nWenn der Kunde nicht angelegt ist, gerne mal 2 Wochen.",4
"22.09.2025 18:12","Keine weiteren Kommentare",5
"22.09.2025 17:53","Keine weiteren Kommentare",4
"22.09.2025 17:28","Keine weiteren Kommentare",5
"22.09.2025 08:27","*****",5
"19.09.2025 17:30","Keine weiteren Kommentare",5
"19.09.2025 08:35","Meine Anfrage wurde innerhalb einer Woche gelöst.\nVielen Dank.",4
"18.09.2025 17:09","Zahlungsabgleich zugeschickt - nach 10 Tagen immer noch kein Ausgleich ???",2
"18.09.2025 13:26","Keine weiteren Kommentare",5
"18.09.2025 11:08","Keine weiteren Kommentare",5
"17.09.2025 17:41","Wäre gut, in der Bestätigungsmail zu sehen, in wieviel Tagen man eine Antwort bekommt.",4
"17.09.2025 11:06","Keine weiteren Kommentare",5
"16.09.2025 16:00","Keine weiteren Kommentare",5
"16.09.2025 13:12","Keine weiteren Kommentare",5
"16.09.2025 10:04","schnelle präzise Auskunft, sehr freundliche Mitarbeiter",5
"16.09.2025 09:54","Keine weiteren Kommentare",5
"16.09.2025 08:46","Keine weiteren Kommentare",5
"15.09.2025 12:20","Kontaktaufnahme über Telefon - schwierig auszuwählen.\nMitarbeiterin sehr bemüht und freundlich.\nRückmeldung prompt.",5
"15.09.2025 11:06","Die Bearbeitung hat viel zu lange gedauert.",1
"12.09.2025 14:40","Keine weiteren Kommentare",5
"12.09.2025 14:06","Keine weiteren Kommentare",5
"12.09.2025 10:30","Keine weiteren Kommentare",5
"11.09.2025 17:40","Das Team von Brokerservice macht einen erstklassigen und tollen Job. Herzlichen Dank dafür und 'weiter so'. Liebe Grüße von ***",5
"11.09.2025 17:05","Keine weiteren Kommentare",1
"11.09.2025 16:39","Immer sehr nett am Telefon.\nBearbeitung per Online-Nachricht könnte besser sein.\nOft steht ein Ticket über eine Woche offen.\nTelefonisch klappt es zuverlässig.",4
"11.09.2025 16:00","Keine weiteren Kommentare",5
"11.09.2025 15:31","Top Beratung. Sehr freundlich. Bitte weiter so.",5
"11.09.2025 15:04","Keine weiteren Kommentare",1
"11.09.2025 14:44","Keine weiteren Kommentare",5
"11.09.2025 13:18","Keine weiteren Kommentare",5
"11.09.2025 11:12","Keine weiteren Kommentare",5
"11.09.2025 11:09","Keine weiteren Kommentare",5
"11.09.2025 10:20","Vielen Dank für das freundliche Gespräch, die ausführliche Beratung und schnelle Bearbeitung.",5
"11.09.2025 09:09","ein super Team mit total netten Leuten, weiter so!",5
"10.09.2025 19:24","Späte Rückmeldung nach erzwungener Kontaktaufnahme über Kontaktformular.\nRückruf kam erst nach mehreren Tagen.",2
"10.09.2025 18:17","Keine weiteren Kommentare",4
"10.09.2025 16:57","Keine weiteren Kommentare",5
"09.09.2025 19:28","Keine weiteren Kommentare",5
"09.09.2025 17:17","Wirklich jedes Mal bekommt man genau die benötigten Infos und Hilfe.\nFreundlichkeit und Hilfsbereitschaft auf hohem Level!",5
"09.09.2025 17:11","Keine weiteren Kommentare",5
"09.09.2025 15:11","Keine weiteren Kommentare",5
"09.09.2025 14:55","Keine weiteren Kommentare",5
"09.09.2025 11:19","Keine weiteren Kommentare",5
"09.09.2025 10:46","Der Mitarbeiter war sehr hilfsbereit und kompetent.",5
"08.09.2025 20:44","schnellere Bearbeitung und bessere telefonische Erreichbarkeit",1
"08.09.2025 17:27","Kontakt meist über Agentur, daher schwierig Allianz direkt zu beurteilen. Agentur ist hervorragend.",4
"08.09.2025 15:27","Keine weiteren Kommentare",5
"08.09.2025 15:05","Keine weiteren Kommentare",5
"05.09.2025 19:26","Keine weiteren Kommentare",5
"05.09.2025 12:55","Besonders hervorragend werden wir von *** betreut!",5
"04.09.2025 14:23","Keine weiteren Kommentare",4
"03.09.2025 18:03","... Ihre neue Bandansage ist ‚gewöhnungsbedürftig‘",4
"03.09.2025 15:23","Keine weiteren Kommentare",5
"03.09.2025 15:11","Aufgrund der Komplexität eines Schadenfalles wurde uns eine schriftliche Rückantwort avisiert. Vielen Dank hierfür.",5
"03.09.2025 10:18","Momentan sehr zufrieden",5
